,Lat.1.j.,Long.1.j.,Elevation_ds,cz_ds,MAT_ds,MAP_ds,VPD_ds,SRAD_ds,clay,silt,sand,bdod,cec,N,pH,soc
48,-47.20327613,112.8625538,-4035,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,28.89475052,-71.82602797,-5008,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,20.35922896,-84.40420733,-4514,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,-76.44668667,-38.60415668,-612,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,-21.1612976,-151.6065459,-4481,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,55.86890717,-124.8483258,970,Dfc,0.495666703,534,6.020000026,124666,18.5,42.4,39.1,0.0075,36.3,0.0751,5.8,3.76
54,42.30453577,-38.78933094,-4239,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,-13.88434565,96.10004495,-4641,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,68.80341516,-163.6883144,346,ET,-8.407666802,219,4.279999934,87028,19.7,42.9,37.4,0.005,64.5,0.1336,6,30.9
57,-17.49836211,-50.72794628,662,Aw,22.93933344,1655,24.36000025,190657,29.1,21.2,49.7,0.0134,9.5,0.015,5.4,2.42
58,76.06377445,21.23577481,-85,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,-18.76101916,-144.0921531,-3034,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,-4.359362988,114.9662609,-19,Af,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,0.266366971,-123.421745,-4493,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,-4.481641315,17.34043401,468,Aw,25.01666673,1525,29.31999946,180729,26.2,16.4,57.4,0.0121,8.9,0.0191,5.1,3.1
63,-15.11360606,24.65912285,1157,Cwa,20.8900001,805,16.8599999,212226,14,7.7,78.3,0.0147,4.7,0.0159,6,1.19
64,74.49747711,90.52517032,117,ET,-14.28199992,253,3.209999997,92766,27.8,36.6,35.6,0.006,40.9,0.1436,6.1,21.78
65,-15.99301302,24.04970024,1075,Cwa,22.12500016,772,17.30999988,220007,14.9,9.9,75.2,0.0145,10.3,0.0087,6.2,1.34
66,46.44769015,27.3209226,358,Dfb,8.93599994,541,11.0800001,158885,35.4,32.1,32.4,0.0122,27.6,0.0452,6.6,4.8
67,79.77761284,20.55546971,9,ET,-8.378333405,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,25.49802403,136.3576622,-4762,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,62.68912113,-30.66829456,-2315,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,-15.73752862,-59.20400974,338,Aw,25.43966659,1535,28.58999979,179677,16.7,31.4,51.9,0.013,11,0.0185,5.7,2.05
71,14.47107699,117.9596157,-4067,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,1.928167103,-127.4442224,-4296,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,-53.95770673,53.57824632,-3751,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,26.35936885,-162.6028286,-5159,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,-29.85510318,-113.6791951,-2995,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,-44.89198868,104.596667,-3646,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,-50.3742146,-81.86202882,-4155,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,22.33396968,-92.12141627,-3403,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,30.84605266,116.296022,636,Cfa,14.36866665,1537,16.74999988,175330,25.1,36.4,38.6,0.0116,19.4,0.0325,5.7,5.3
80,32.23626505,26.13418157,-3180,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,-27.3859337,-33.30238139,-4879,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,-78.24004182,-136.7332896,35,EF,-24.7359999,378,1.590000018,134416,NA,NA,NA,NA,NA,NA,NA,NA
83,-41.30390249,30.81034586,-4869,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,24.30100369,114.1548262,234,Cfa,20.32533328,1756,22.97000039,168381,24.4,29.2,46.4,0.0116,16.4,0.026,5.4,3.18
85,48.34777588,42.47265645,78,Dfa,8.306333465,437,9.840000123,139107,24.9,41.8,33.3,0.0111,32.9,0.069,6.7,6.88
86,12.28906122,-98.12743345,-3525,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,-61.9060497,-91.11428099,-4882,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,59.35492542,-154.1950063,140,Dfc,1.862000052,906,7.469999969,101391,12.8,41.7,45.5,0.0075,46.4,0.0998,5.1,21.28
89,-19.59529393,48.67473699,175,Af,23.40133317,2739,28.38999987,212412,33.9,28.8,37.2,0.0111,16.5,0.0285,5.4,5.4
90,-25.76912208,-147.9752942,-4101,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,26.03904711,-25.03378009,-5100,Climate Zone info missing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
