Site ID,Lat,Long,Elevation,Elevation_ds,Vegetation,Climate,Climate_ds,MAT,MAT_ds,MAP,MAP_ds,SRAD_ds,clay,silt,sand,bdod,cec,N,pH,soc
US-Mpj,34.4385,-106.2377,2196,2150,WSA,Bsk,BSk,10.5,10.36,385,407,229813,20,42.7,37.3,0.0142,18.7,0.0193,7.3,2.37
US-MRf,44.6465,-123.5515,263,265,ENF,Csb,Csb,10.24,10.05,1819.59,2237,153516,26.9,44.3,28.8,0.0094,42.7,0.0994,5.4,16.08
US-MRM,40.8164,-74.0435,1,6,WET,Cfa,Cfa,13.5,12.13,1120,1218,161131,10,36.5,53.5,0.0117,26.8,0.0745,5.8,11.79
US-MSR,47.4758,-111.7207,1110,1141,CRO,Bsk,BSk,7,7.59,374,328,166350,41,39.6,19.4,0.0137,21.5,0.0198,7.1,1.9
US-MtB,32.416,-110.7256,2573,2206,ENF,Dwb,BSh,9.3,11.63,790,717,230058,8.4,25.6,66,0.0114,23.5,0.1248,5.3,8.87
US-MVF,47.6867,-111.4659,1128,1117,CRO,Bsk,BSk,7,6.85,374,348,166636,37.4,39.5,23.1,0.0141,23.1,0.0231,7.2,1.86
US-MVW,47.6729,-111.4889,1134,1132,CRO,Bsk,BSk,7,6.85,374,348,166559,37.2,40,22.7,0.014,20.8,0.0234,7.1,1.99
US-MWA,42.2143,-84.8539,290,298,CRO,Dfa,Dfb,9.11,8.66,800,872,153214,26.1,35.3,38.6,0.0141,23.2,0.0992,6.4,3.65
US-MWF,42.366,-85.3526,256,277,MF,Dfa,Dfa,9,8.96,842,901,153626,23.3,39.2,37.6,0.0124,16,0.0769,5.4,7.18
US-MWS,42.7293,-84.4737,261,262,URB,Dfa,Dfb,9.1,8.82,807,797,152066,NA,NA,NA,NA,NA,NA,NA,NA
US-MWU,42.3228,-85.1871,256,264,URB,Dfa,Dfa,9,9.32,842,893,152307,NA,NA,NA,NA,NA,NA,NA,NA
US-MWW,42.6689,-86.0229,209,200,WET,Dfa,Dfb,10,8.86,926,939,154338,16.2,22.5,61.3,0.0134,20.5,0.1027,5.7,8.68
US-Myb,38.0499,-121.765,-4,-6,WET,Csa,Csa,15.9,15.39,338,356,203051,34.8,46.4,18.9,0.0122,35.2,0.0668,6.8,9.35
US-NC1,35.8118,-76.7119,5,14,ENF,Cfa,Cfa,16.6,15.92,1320,1248,181086,18.2,30.2,51.6,0.0136,30.6,0.0764,4.5,10.27
US-NC2,35.803,-76.6685,5,14,ENF,Cfa,Cfa,16.6,15.93,1320,1252,181349,19.9,36.6,43.5,0.0134,33.5,0.0827,4.6,9.71
US-NC3,35.799,-76.656,5,10,ENF,Cfa,Cfa,16.6,15.94,1320,1254,181255,18.1,39.5,42.4,0.014,28.3,0.0806,4.6,10.67
US-NC4,35.7879,-75.9038,1,10,WET,Cfa,Cfa,16.6,16.13,1311,1327,181888,18.6,39.3,42,0.0132,31.5,0.0875,4.5,9.51
US-Ne1,41.1651,-96.4766,361,357,CRO,Dfa,Dfa,10.07,10.28,790.37,799,174377,38.3,49.7,11.9,0.0144,22.6,0.0246,6.4,2.59
US-Ne2,41.1649,-96.4701,362,357,CRO,Dfa,Dfa,10.08,10.28,788.89,799,174393,36.2,50.6,13.3,0.0141,22.3,0.0235,6.6,2.55
US-Ne3,41.1797,-96.4397,363,355,CRO,Dfa,Dfa,10.11,10.18,783.68,797,174202,36.7,51.4,12,0.014,22.2,0.0216,6.4,2.44
US-NGB,71.28,-156.6092,5.273,7,SNO,ET,ET,-11.27,-11.99,171,109,75349,26.8,35,38.1,0.0042,49.1,0.1125,5.3,40.76
US-NGC,64.8618,-163.7002,35,29,GRA,ET,Dfc,NA,-3.04,NA,413,91958,11.4,57.5,31.1,0.0048,81.7,0.1284,5.3,32.3
US-NMj,46.6465,-88.5194,394,386,ENF,Dfb,Dfb,4.73,4.33,854.01,835,145282,21.6,40.9,37.5,0.0105,24.4,0.0409,5,7.29
US-NP1,46.7756,-100.951,593,573,CRO,Bsh,Dfb,5.4,5.68,420,430,162422,25.6,43.5,30.9,0.012,23.5,0.0324,6.7,3.84
US-NP2,46.7613,-100.9257,590,581,CRO,Bsh,Dfb,5.4,5.68,420,430,162321,26.4,41.6,32,0.0118,22.2,0.0324,6.7,3.67
US-NR1,40.0329,-105.5464,3050,2994,ENF,Dfc,Dfc,1.5,1.83,800,567,190075,13.8,34.2,52,0.0105,24.1,0.0712,5.4,9.23
US-NR2,40.0325,-105.5469,3030,2994,ENF,Dfc,Dfc,0.43,1.83,595.37,567,190075,13.8,34.2,52,0.0105,24.1,0.0712,5.4,9.23
US-NR3,40.052,-105.5864,3504,3335,GRA,ET,Dfc,-2.2,-0.38,884,686,186841,17.4,31.3,51.4,0.0105,27.7,0.0532,5.6,8.5
US-NR4,40.052,-105.5859,3502,3335,GRA,ET,Dfc,-2.2,-0.38,884,686,186841,17.4,31.3,51.4,0.0105,27.7,0.0532,5.6,8.5
US-Nrf,47.0935,-122.6927,8,10,WET,Csb,Csb,10.3,10.43,1269,1183,140014,21,34.1,44.9,0.0107,34.9,0.1174,5.4,10.95
US-Nrs,47.0936,-122.7079,8,5,WET,Csb,Csb,10.3,10.43,1269,1183,139940,19.4,36.2,44.4,0.0108,34.8,0.104,5.6,7.2
US-OF1,35.7371,-90.0492,69.8,68,CRO,Cfa,Cfa,-16.3,15.69,1277.1,1239,182654,32,38.4,29.6,0.0134,23.1,0.0286,6.6,3.19
US-OF2,35.7406,-90.0489,69.4,68,CRO,Cfa,Cfa,-16.3,15.69,1277.1,1239,182654,33,39.2,27.8,0.0133,23.9,0.0286,6.6,3.15
US-Oho,41.5545,-83.8438,230,212,DBF,Dfa,Dfa,10.1,9.46,849,855,156530,22.9,18.8,58.2,0.0128,21.9,0.0748,5.9,8.37
US-ONA,27.3836,-81.9509,25,27,GRA,Cfa,Cfa,22.3,22.42,1268,1285,209203,4.6,5.3,90.2,0.0123,22.5,0.1344,5.3,5.17
US-OPE,39.0293,-76.8457,40,57,CRO,Cfa,Cfa,13,12.92,1192,1127,168468,14.9,32.9,52.2,0.0138,43.8,0.0618,5.3,7.6
US-ORv,40.0201,-83.0183,221,237,WET,Cfa,Dfa,11.63,11.53,1499.1,956,158452,NA,NA,NA,NA,NA,NA,NA,NA
US-OWC,41.3795,-82.5125,174,179,WET,Dfb,Dfa,10.7,9.87,930,897,156208,30.5,48.9,20.6,0.0133,24.5,0.0696,6.2,6.63
US-PAS,27.3944,-81.951,27.1,27,GRA,Cfa,Cfa,22.3,22.42,1268,1285,209210,2.5,5.5,92,0.0125,23.5,0.1356,5.3,6.02
