Site ID,Lat,Long,Elevation,Elevation_ds,Vegetation,Climate,Climate_ds,MAT,MAT_ds,MAP,MAP_ds,SRAD_ds,clay,silt,sand,bdod,cec,N,pH,soc
US-Snd,38.0366,-121.754,-5,-5,GRA,Csa,Csa,15.6,15.56,358,340,203119,30.5,41.8,27.7,0.0121,33.6,0.0598,7.1,7.84
US-Sne,38.0369,-121.7547,-5,-5,GRA,Csa,Csa,16.09,15.56,311,340,203119,30.5,41.8,27.7,0.0121,33.6,0.0598,7.1,7.84
US-Snf,38.0402,-121.7272,-4,-3,GRA,Csa,Csa,NA,15.51,NA,336,203234,35.2,32.3,32.5,0.012,36.7,0.0651,6.9,8.05
US-SO2,33.3738,-116.6228,1394,1494,CSH,Csa,Csa,13.63,13.19,553,605,226191,10.8,23.3,65.9,0.0118,16.1,0.0208,6.5,3.07
US-SO3,33.3771,-116.6226,1429,1494,CSH,Csa,Csa,13.29,13.31,576,620,226431,10.4,24,65.6,0.0118,15.7,0.0274,6.3,2.94
US-SO4,33.3845,-116.6406,1429,1376,CSH,Csa,Csa,NA,13.54,NA,584,226366,10.1,23.5,66.5,0.0123,14.9,0.0253,6.4,2.8
US-SP1,29.7381,-82.2188,50,40,ENF,Cfa,Cfa,20.06,20.27,1309.77,1307,201608,0.9,4.7,94.4,0.0133,9.3,0.161,3.9,4.37
US-SP2,29.7648,-82.2448,50,47,ENF,Cfa,Cfa,20.07,20.2,1314.41,1312,201634,1.5,7.2,91.3,0.0133,12.9,0.1696,4.5,5.86
US-SP3,29.7548,-82.1633,50,42,ENF,Cfa,Cfa,20.25,20.25,1312.35,1305,202136,1.6,5.4,93,0.0131,12,0.1767,4.8,3.02
US-SP4,29.8028,-82.2031,47,47,ENF,Cfa,Cfa,20,20.19,1319.63,1313,201606,1.3,6.5,92.2,0.0131,12.5,0.1623,4.7,5.14
US-SRC,31.9083,-110.8395,950,996,OSH,Bwh,BSk,22,19.15,330,395,234809,15,28.3,56.8,0.0152,12.9,0.0084,7.3,0.76
US-SRG,31.7894,-110.8277,1291,1262,GRA,Bsk,BSk,17,15.83,420,566,232327,14.8,24.4,60.8,0.0139,17.7,0.0115,6.8,1.48
US-SRM,31.8214,-110.8661,1120,1121,WSA,Bsk,BSk,17.92,18.3,380,474,232641,16.9,26.5,56.6,0.0146,16.1,0.0109,7.1,1.21
US-Srr,38.2006,-122.0264,8,3,WET,Csa,Csb,15.1,15.36,326,530,201219,26.6,50.6,22.8,0.0148,23.1,0.0471,6.9,4.98
US-SRS,31.8173,-110.8508,1169,1164,WSA,Bsk,BSk,19.4,18.3,388,474,232721,16.6,25.7,57.7,0.0143,17.2,0.0112,6.9,1.23
US-SSH,40.6658,-77.9041,310,320,DBF,Dfb,Dfb,9.5,9.74,1050,989,156399,38.5,46,15.5,0.0133,45.4,0.1114,4.2,18.33
US-Sta,41.3966,-106.8024,2069,2149,OSH,Bsh,Dfb,5.1,5.46,NA,293,187531,26.7,33.5,39.8,0.0138,18.5,0.0153,7.1,1.81
US-StJ,39.0882,-75.4372,6.7,3,WET,Cfa,Cfa,13.5,12.94,1121,1133,169883,21.3,46.9,31.8,0.0129,34.3,0.0723,4.9,12.4
US-StS,33.3302,-79.2492,NA,2,WET,Cfa,Cfa,18.1,17.98,1300,1370,192357,30.2,35.7,34,0.0133,23,0.0845,4.9,6.6
US-SuM,20.7981,-156.454,21,19,CRO,Aw,Af,24.1,24.11,287,799,228754,36.4,33.7,29.8,0.0136,32.1,0.0366,6.6,4.35
US-SuS,20.7847,-156.4039,203,146,CRO,Aw,Af,24.4,23.04,334,1046,225487,35.3,32.5,32.2,0.0133,25.9,0.0325,6.4,4.59
US-SuW,20.8246,-156.4913,44,33,CRO,Aw,Af,24.4,24.24,366,866,227381,33.5,30.2,36.3,0.0136,31.2,0.0348,6.1,5.6
US-Syv,46.242,-89.3477,540,536,MF,Dfb,Dfb,3.81,3.76,826,836,145488,10.5,42.5,47,0.0107,26.1,0.0684,4.8,6.56
US-SZ1,47.1245,-117.5306,657,689,CRO,Csb,Csb,9.5,8.93,437.4,444,164019,17.9,70,12.1,0.0125,22.3,0.0301,6.1,4.5
US-SZ2,47.1226,-117.5271,664,689,CRO,Csb,Csb,9.5,8.93,437.4,444,164019,17,71.4,11.7,0.0127,22.7,0.0294,6.1,4.18
US-SZ3,47.1261,-117.5267,687,689,CRO,Csb,Csb,9.5,8.74,437.4,446,163807,18.3,69.8,11.9,0.0127,22.7,0.029,6.1,4.4
US-TCS,25.8221,-81.1017,1.2,6,WET,Cfa,Aw,23.6,23.77,1312,1305,212097,11.8,15.2,73,0.0102,37.6,0.1765,6.9,13.01
US-TFF,43.1084,-70.9523,23.3,29,MF,Dfb,Dfb,8.9,8.45,1170,1078,156444,21.7,50.2,28,0.0102,35.2,0.0909,4.7,17.66
US-Ton,38.4309,-120.966,177,156,WSA,Csa,Csa,15.8,16.24,559,623,205669,19.1,40.7,40.2,0.0136,20.8,0.0258,6.1,3.12
US-TrB,46.0412,-89.6862,499,500,WAT,Dfb,Dfb,3.8,4.15,787,815,146918,9.3,43.4,47.3,0.011,21,0.0541,4.9,5.24
US-TrS,46.0034,-89.7053,495,502,WAT,Dfb,Dfb,3.8,4.15,787,815,146995,8.6,44.6,46.8,0.0113,18.1,0.0604,4.9,7.13
US-Tur,45.5571,-111.2286,1530,1525,GRA,Dfb,Dfb,6.67,6.78,670,505,167697,29.2,47.7,23.1,0.0128,28.5,0.0372,6.6,4.62
US-Tw1,38.1074,-121.6469,-5,-2,WET,Csa,Csa,15.5,15.35,421,370,203305,37.7,50.2,12.1,0.0119,60.5,0.079,6.1,12.25
US-Tw2,38.0969,-121.6365,-5,-2,CRO,Csa,Csa,15.5,15.35,421,370,203590,36.1,45.3,18.6,0.0118,58.3,0.0722,6.2,10.42
US-Tw3,38.1152,-121.6469,-4,-3,CRO,Csa,Csa,15.6,15.35,421,370,203353,46.1,42.6,11.4,0.0126,69.7,0.0886,6,11.44
US-Tw4,38.1027,-121.6413,-5,-2,WET,Csa,Csa,15.6,15.35,421,370,203408,36.7,51.2,12.1,0.0121,63.8,0.0738,6.2,11.1
US-Tw5,38.1072,-121.6426,-5,-2,WET,Csa,Csa,15.5,15.35,421,370,203305,41.1,49.1,9.8,0.0118,70,0.0779,5.9,12.41
US-Twt,38.1087,-121.6531,-7,-2,CRO,Csa,Csa,15.6,15.35,421,370,203312,35.1,49.7,15.2,0.0122,51.6,0.0856,6.3,11.04
US-Tx1,30.6176,-97.2938,157,161,GRA,Cfa,Cfa,25.6,19.65,889,880,197961,39.8,48.6,11.6,0.0161,34.5,0.0266,7.5,2.81
US-Tx2,31.4802,-96.8827,162,162,GRA,Cfa,Cfa,18.95,19.15,914,915,197201,47.5,42,10.5,0.0157,39,0.0233,7.3,2.89
US-Tx3,31.4777,-96.8883,167,164,CRO,Cfa,Cfa,18.95,19.15,914,915,197056,47.2,42.4,10.3,0.0157,41.1,0.0219,7.3,2.8
US-Tx4,31.4693,-96.8865,173,164,CRO,Cfa,Cfa,18.95,19.15,914,915,197051,49.9,39.3,10.9,0.0155,31.6,0.0269,7.2,3.33
US-Tx5,30.5328,-96.4252,68,69,CRO,Cfa,Cfa,19.95,19.95,991,1016,193384,39.8,49,11.2,0.0156,33,0.0319,7.2,3.43
US-Tx6,27.6666,-98.2089,82,84,GRA,Cfa,Cfa,22.2,21.89,716,650,201239,23.1,20,56.9,0.0155,16.7,0.017,6.9,1.53
US-Tx7,27.665,-98.2007,82,84,CSH,Cfa,Cfa,22.2,21.95,716,656,201152,22.2,21,56.8,0.0154,16.1,0.017,7,1.45
US-Tx8,29.1659,-95.829,16,23,DBF,Cfa,Cfa,20.6,20.44,1143,1200,194711,42.1,43.3,14.6,0.0149,31.2,0.0656,6.3,6.34
US-Tx9,28.7805,-95.6144,NA,2,WET,Cfa,Cfa,21.15,21.22,1245,1218,197672,44.1,40.3,15.6,0.0132,31.7,0.086,6.4,7.87
US-Uaf,64.8663,-147.8555,155,164,ENF,Dwc,Dfc,-2.9,-2.7,263,301,99487,12.4,69.9,17.7,0.0063,75.8,0.0812,5.5,29.92
US-UC1,40.7536,-78.0056,390,395,CRO,Dfb,Dfb,10.1,9.15,1006.35,1010,155306,19.3,39.7,41,0.0136,39.3,0.0612,5.8,6.72
US-UC2,40.7559,-77.9998,396,395,CRO,Dfb,Dfb,10.1,9.17,1006.35,1009,155425,21,39.5,39.5,0.0136,37.7,0.0624,5.8,6.29
US-UiA,40.0646,-88.1961,224,222,CRO,Dfa,Dfa,10.9,11.01,1051,1015,164718,36.2,54,9.8,0.0138,23.8,0.0365,6.1,3.64
US-UiB,40.0628,-88.1984,224,218,CRO,Dfa,Dfa,10.9,11.01,1051,1015,164718,36.2,54,9.8,0.0138,23.8,0.0365,6.1,3.64
US-UiC,40.0647,-88.1983,224,222,GRA,Dfa,Dfa,10.9,11.01,1051,1015,164718,33.9,56.2,9.9,0.0138,24.3,0.0371,6,3.98
US-UiD,40.0646,-88.1985,224,222,GRA,NA,Dfa,10.9,11.01,1051,1015,164718,33.9,56.2,9.9,0.0138,24.3,0.0371,6,3.98
US-UiE,40.0629,-88.2033,217,218,CRO,Dfa,Dfa,11.2,11.01,1021,1015,164682,32.6,57.2,10.1,0.0137,24.3,0.0342,6,3.81
US-UiF,40.0665,-88.2015,220,222,CRO,Dfa,Dfa,11.2,11.01,1021,1015,164682,31.5,60.1,8.4,0.0138,24,0.0331,6,3.35
US-UiG,40.0629,-88.2009,220,218,CRO,Dfa,Dfa,11.2,11.01,1021,1015,164682,33.9,56.2,9.9,0.0138,24.3,0.0371,6,3.98
US-ULM,32.457,-91.9743,20,28,DBF,Cfa,Cfa,18.77,18.03,1356.36,1363,189894,23.2,55,21.8,0.0134,15.9,0.0439,5.4,4.04
US-UM3,45.5686,-84.6707,234,220,WAT,Dfb,Dfb,5.83,6.2,803,793,148550,NA,NA,NA,NA,NA,NA,NA,NA
US-UMB,45.5598,-84.7138,234,230,DBF,Dfb,Dfb,5.83,6.12,803,806,148214,13,25.4,61.6,0.0111,30.1,0.0697,5.2,9.57
US-UMd,45.5625,-84.6975,239,226,DBF,Dfb,Dfb,5.83,6.2,803,793,148457,9.8,33.7,56.5,0.0111,30.6,0.067,5.2,7.94
US-Upa,70.2815,-148.8848,5,12,WET,Dsc,Dsc,-13.57,-11.14,123.68,165,78362,18,38.8,43.2,0.005,75.5,0.1162,7,25.22
US-UTB,40.7848,-113.8299,1287,1286,BSV,Bwk,BWk,10.6,9.97,138.59,165,202133,22.9,38.2,38.8,NA,19.6,0.0114,8.2,NA
US-UTW,39.4453,-110.7288,1682,1688,CRO,Dfa,BSk,9.6,9.2,225.22,228,205552,28.8,36.7,34.4,0.0144,13.6,0.0194,7.8,1.97
US-Var,38.4133,-120.9508,129,168,GRA,Csa,Csa,15.8,16.17,559,640,205859,18.1,45,36.9,0.0132,21.4,0.029,6,3.43
US-Vcm,35.8884,-106.5321,3030,2985,ENF,Dfb,Cfb,6.4,4.03,646,700,216314,16.3,45.2,38.6,0.0108,32,0.0396,5.9,8.07
US-Vcp,35.8642,-106.5967,2500,2714,ENF,Dfb,Cfb,9.8,5.89,550,597,218858,22.8,36.7,40.5,0.0116,20.7,0.0421,6.4,7.39
US-Vcs,35.9193,-106.6142,2752,2703,ENF,Dfb,Cfb,4.6,4.46,550.93,671,217929,15.9,38.6,45.5,0.0112,21.4,0.0468,5.9,6.92
US-VFP,37.4111,-75.8333,1,0,WET,Cfa,Cfa,14.05,14.62,1023.3,1040,176835,NA,NA,NA,NA,NA,NA,NA,NA
US-WBW,35.9588,-84.2874,283,299,DBF,Cfa,Cfa,13.71,13.9,1372.05,1220,177827,27.7,43.7,28.5,0.0115,17.3,0.0365,5.4,5.81
US-WCr,45.8059,-90.0799,520,508,DBF,Dfb,Dfb,4.02,4.26,787,818,147499,10.6,41.6,47.8,0.0116,16.8,0.0623,4.7,5.09
US-Wdn,40.7838,-106.2618,2469,2466,OSH,Bsh,Dfc,3.3,3.18,NA,844,189035,33.3,36.8,29.9,0.0129,25.5,0.0463,6.3,5.14
US-WEP,43.1421,-70.9543,27,44,URB,Dfb,Dfb,8.9,8.38,1170,1086,156246,NA,NA,NA,NA,NA,NA,NA,NA
US-Wgr,45.1129,-122.656,52,66,CRO,Csb,Csb,11.58,11.44,1194,1212,153662,34.5,48.8,16.7,0.0123,26.3,0.072,5.6,5.33
US-Whs,31.7438,-110.0522,1370,1351,OSH,Bsk,BSk,17.6,17.06,320,360,234730,16,20.3,63.7,0.0154,13.6,0.0093,7.9,0.87
US-Wi0,46.6188,-91.0814,349,355,ENF,Dfb,Dfb,NA,4.5,NA,787,147598,22.7,38.8,38.5,0.0109,28.5,0.0527,5.1,6
US-Wi1,46.7305,-91.2329,352,348,DBF,Dfb,Dfb,NA,4.42,NA,783,146882,17.3,35.5,47.2,0.0109,20.9,0.0512,5.2,6.22
US-Wi2,46.6869,-91.1528,395,396,ENF,Dfb,Dfb,NA,4.19,NA,800,146573,14.1,29.1,56.8,0.0111,24.4,0.0683,5.2,6.7
US-Wi3,46.6347,-91.0987,411,377,DBF,Dfb,Dfb,NA,4.27,NA,797,146643,19.5,33.5,47,0.0118,24.4,0.0516,5,6.38
US-Wi4,46.7393,-91.1663,352,377,ENF,Dfb,Dfb,NA,4.24,NA,788,147471,22.2,36,41.8,0.0111,26.5,0.0542,5.1,6.15
US-Wi5,46.6531,-91.0858,353,361,ENF,Dfb,Dfb,NA,4.27,NA,797,146929,25.7,39.3,35,0.0111,28.7,0.0513,5.1,6.75
US-Wi6,46.6249,-91.2982,371,374,OSH,Dfb,Dfb,NA,4.39,NA,793,146739,25,40.4,34.6,0.0113,27.1,0.0537,5.4,6.63
US-Wi7,46.6491,-91.0693,335,346,OSH,Dfb,Dfb,NA,4.4,NA,792,146922,24.1,38.7,37.2,0.0112,25,0.0512,5.3,5.62
US-Wi8,46.7223,-91.2524,348,352,DBF,Dfb,Dfb,NA,4.42,NA,781,147031,22.6,37.1,40.3,0.0117,25.4,0.0492,5.1,5.53
US-Wi9,46.7385,-91.0746,350,383,ENF,Dfb,Dfb,NA,4.28,NA,795,146995,21.5,36.3,42.2,0.0114,28.5,0.0602,5.1,6.4
US-Wjs,34.4255,-105.8615,1931,1928,SAV,Bsk,BSk,15.2,11.36,361,344,229732,23.4,32.2,44.4,0.0147,14,0.0124,7.6,1.12
US-Wkg,31.7365,-109.9419,1531,1532,GRA,Bsk,BSk,15.64,16.51,407,410,233345,14.6,20.4,65.1,0.0148,15.6,0.0132,7.1,1.07
US-Wlr,37.5208,-96.855,408,413,GRA,Cfa,Cfa,13.52,13.62,881,867,187871,29,60.3,10.7,0.0141,25.5,0.0247,6.4,3.06
US-Wpp,44.1369,-123.1824,111,111,DBF,Csb,Csb,11.39,11.8,1293,1281,159425,36.5,41.8,21.7,0.0122,27.9,0.0654,5.8,5.93
US-WPT,41.4646,-82.9962,175,172,WET,Dfa,Dfa,10.1,9.91,849,882,155885,33.6,44.1,22.3,0.0136,26.5,0.0699,6.8,7.94
US-Wrc,45.8205,-121.9519,371,450,ENF,Csb,Csb,8.8,9.05,2452,1966,153594,16.1,44.8,39,0.0099,36.3,0.0922,5.4,19.12
US-Wwt,45.1089,-122.6664,52,61,CRO,Csb,Csb,11.58,11.44,1194,1212,153505,33.1,51.7,15.2,0.0125,25.8,0.0562,5.7,4.24
US-xAB,45.7624,-122.3303,363,426,ENF,Csb,Csb,10,9.13,2450.59,2372,149367,30.9,33.4,35.7,0.0108,37.7,0.0883,5.1,12.06
US-xAE,35.4106,-99.0588,516,516,GRA,Cfa,Cfa,15.5,15.58,778.85,700,202287,22.2,45.2,32.6,0.0152,14.2,0.023,7.4,1.88
US-xBA,71.2824,-156.6194,6,7,WET,ET,ET,-12,-11.99,110,109,75283,26.1,36.7,37.2,0.004,49,0.1125,5.2,42.26
US-xBL,39.0603,-78.0716,183,181,DBF,Cfa,Cfa,12.1,12.04,982.55,991,166623,30.3,53.5,16.2,0.0131,29.9,0.0571,5.7,12.53
US-xBN,65.154,-147.5026,263,307,ENF,Dwc,Dfc,-2,-3.05,275,329,96473,11.2,57.3,31.5,0.0026,52.4,0.0743,4.8,30.15
US-xBR,44.0639,-71.2873,232,326,DBF,Dfb,Dfb,5.6,5.93,1246,1233,152742,7.4,31.9,60.7,0.0098,46.2,0.1372,4.5,17.33
US-xCL,33.4012,-97.57,259,278,GRA,Cfa,Cfa,17.5,17.45,925.61,870,200236,24.6,30.7,44.7,0.0148,19.4,0.0596,6.7,5.31
US-xCP,40.8155,-104.7456,1654,1645,GRA,Bsk,BSk,8.6,9.09,320,367,192481,33.3,19.4,47.3,0.0141,21.1,0.0133,6.7,1.12
US-xDC,47.1617,-99.1066,559,553,GRA,Dfb,Dfb,4.9,4.41,489.74,438,156001,32.3,38,29.7,0.0114,28.5,0.0517,7,6.48
US-xDJ,63.8811,-145.7514,529,520,ENF,Dfc,Dsc,-2,-2.98,300,290,96896,8.4,57.7,33.9,0.0028,52.5,0.1014,5.1,25.26
US-xDL,32.5417,-87.8039,22,31,MF,Cfa,Cfa,17.6,17.71,1372,1402,192362,27,38.6,34.4,0.0132,27,0.0323,5.6,5.14
US-xDS,28.125,-81.4362,15,20,CRO,Cfa,Cfa,22.5,22.34,1216.09,1221,206578,2.7,3.9,93.4,0.0125,25.3,0.1232,5.1,3.6
US-xGR,35.689,-83.5019,579,657,DBF,Cfa,Cfa,13.1,12.97,1375,1367,178654,24,42.3,33.7,0.012,18.6,0.0383,5.1,7.06
US-xHA,42.5369,-72.1727,351,350,DBF,Dfb,Dfb,6.62,7.12,1071,1103,156555,9.6,29.9,60.4,0.0106,42.1,0.1359,4.5,25.39
US-xHE,63.8757,-149.2133,705,675,OSH,ET,Dfc,-4,-3.32,320,419,95403,13.7,48.3,38,0.0065,52.8,0.1098,5.1,25.51
US-xJE,31.1948,-84.4686,44,51,ENF,Cfa,Cfa,19.2,19.15,1307.97,1355,195575,12.7,13.3,74,0.0126,12.4,0.0264,5.3,5.58
US-xJR,32.5907,-106.8425,1329,1325,OSH,Bsk,BWk,15.7,15.18,271.33,273,239180,17.3,9.4,73.2,0.0156,7.7,0.0165,7.9,2.16
US-xKA,39.1104,-96.6129,1329,330,GRA,Cfa,Cfa,12.7,12.46,850.63,888,182401,26.5,63.7,9.9,0.0137,24.7,0.0253,7.1,3.17
US-xKZ,39.1008,-96.5631,381,410,GRA,Cfa,Cfa,12.4,12.35,870.38,892,182243,38.1,51.9,10,0.0124,31.3,0.0285,6.3,3.85
US-xLE,31.8539,-88.1612,20,27,DBF,Cfa,Cfa,18.1,18.12,1386.24,1513,194524,25.4,41,33.6,0.0136,28.5,0.0369,5.2,5.26
US-xMB,38.2483,-109.3883,1767,1800,OSH,Bsk,BSk,10.1,10.37,319.46,306,209851,21.4,37.9,40.7,0.0141,13,0.0125,7.7,1.62
US-xML,37.3783,-80.5248,1126,1157,DBF,Dfb,Cfb,8.8,9,1227.82,1122,167352,18.2,38,43.9,0.0104,42.7,0.0802,4.6,16.63
US-xNG,46.7697,-100.9154,578,581,GRA,Dfb,Dfb,5.9,5.72,456.51,428,162386,24.7,39,36.3,0.0117,22.6,0.0318,6.7,3.76
US-xNQ,40.1776,-112.4524,1685,1646,OSH,Dfb,Cfa,9,9.42,288.31,297,201980,21.3,40.3,38.3,0.0136,17.4,0.0198,7.8,1.84
US-xNW,40.0543,-105.5824,3513,3335,ENF,Dfc,Dfc,0.3,0.83,1004.54,623,187217,18,30.9,51.1,0.0106,28.1,0.0536,5.6,8.08
US-xPU,19.5531,-155.3173,1685,1712,EBF,Cfb,Cfb,13,13.24,2685,2155,214117,28.6,32.7,38.6,0.0094,26.2,0.0656,5,10.46
US-xRM,40.2759,-105.5459,2743,2874,ENF,Dfc,Dfc,2.9,2.12,730.59,548,190147,11.8,28,60.2,0.0112,25.4,0.0525,5.6,8.36
US-xRN,35.9641,-84.2826,334,309,DBF,Cfa,Cfa,14.4,13.9,1340.32,1220,177780,24.1,42.8,33.1,0.0111,16.8,0.0317,5.4,5.75
US-xSB,29.6893,-81.9934,45,39,ENF,Cfa,Cfa,20.9,20.51,1302.09,1290,200717,3.5,4.5,92.1,0.0134,13.4,0.1096,5,2.43
US-xSC,38.8929,-78.1395,361,311,DBF,Cfa,Cfa,11.6,11.68,1125.5,1027,167723,24.5,47.2,28.3,0.0116,29.2,0.0613,4.7,11.87
US-xSE,38.8901,-76.56,15,26,DBF,Cfa,Cfa,13.6,13.17,1074.65,1104,169820,24.2,43.6,32.2,0.0127,30.3,0.0604,4.6,11.22
US-xSJ,37.1088,-119.7323,368,398,SAV,Csa,Csa,16.4,16.66,539.62,542,215486,13.1,20.1,66.8,0.015,9.6,0.0314,6.2,2.53
US-xSL,40.4619,-103.0293,1364,1365,CRO,Bsk,BSk,9.7,9.37,432.67,429,193493,22.9,34.3,42.9,0.0143,17.2,0.0147,7.6,1.32
US-xSP,37.0334,-119.2622,1160,1128,ENF,Csa,Csb,13.4,13.3,900.35,842,217785,15.6,28.2,56.2,0.0121,22,0.0336,6,4.95
US-xSR,31.9107,-110.8355,983,1003,OSH,Bsk,BSk,19.3,19.15,346,395,235099,14.7,28.2,57.1,0.015,13,0.0087,7.3,0.8
US-xST,45.5089,-89.5864,481,462,DBF,Dfb,Dfb,4.8,4.69,797.56,803,147730,7.4,21.2,71.4,0.0113,19.5,0.0609,5,6.89
US-xTA,32.9505,-87.3933,135,128,ENF,Cfa,Cfa,17.2,16.88,1382.68,1449,190838,14.8,28,57.2,0.0134,16.7,0.0232,5,4.14
US-xTE,37.0058,-119.006,2147,2134,ENF,Csa,Csb,8,6.17,1222.5,831,218548,8,17.9,74.1,0.01,20.9,0.0393,5.8,7.91
US-xTL,68.6611,-149.3705,843,801,WET,ET,Dfc,-4,-10,331,239,85360,22.6,36.8,40.7,0.0036,68.7,0.1372,5.4,37.75
US-xTR,45.4937,-89.5857,472,458,DBF,Dfb,Dfb,4.8,4.76,797.56,803,147969,6.9,27.3,65.8,0.011,18.1,0.0643,4.9,7.98
US-xUK,39.0404,-95.1921,335,304,DBF,Cfa,Cfa,12.7,12.55,990.63,998,178831,47.9,45.7,6.5,0.0139,25.3,0.0442,6.5,5.21
US-xUN,46.2339,-89.5373,518,513,MF,Dfb,Dfb,4.3,3.87,802.3,843,146151,11.4,38.8,49.8,0.011,21.9,0.0614,4.6,6.14
US-xWD,47.1282,-99.2414,579,579,GRA,Dfb,Dfb,4.9,4.34,493.76,423,156455,30.2,44.1,25.7,0.0119,27.1,0.0564,7.1,5.81
US-xWR,45.8205,-121.9519,407,450,ENF,Csb,Csb,9.2,9.05,2225.01,1966,153594,16.1,44.8,39,0.0099,36.3,0.0922,5.4,19.12
US-xYE,44.9535,-110.5391,2116,2106,ENF,Dfc,Dfc,3.4,1.49,493.44,590,170525,12.8,35.3,51.9,0.0114,22.4,0.0547,6.3,7.76
US-YK1,61.2723,-163.2228,15,15,WET,NA,Dfc,NA,-0.97,NA,525,92729,17.1,47.6,35.4,0.0069,70.5,0.1223,5.1,31.2
US-YK2,61.2548,-163.259,15,13,WET,NA,Dfc,NA,-0.95,NA,530,92648,17.9,45.9,36.3,0.007,71.3,0.1227,5.1,28.51
US-Ylw,29.7894,-95.3536,14,19,URB,Cfa,Cfa,20,20.98,1260,1230,187174,NA,NA,NA,NA,NA,NA,NA,NA
VN-NCT,11.457145,107.402916,156,165,MF,Am,Aw,26.2,25.31,2470,2283,222256,33.1,32.7,34.1,0.0118,19.1,0.0239,5.2,3.54
ZA-Kru,-25.0197,31.4969,NA,341,SAV,NA,Cwa,21.9,21.52,547,627,209358,26.8,20.2,53,0.0133,18.1,0.0123,6.7,1.42
ZA-Map,-23.83254,31.21436,NA,386,SAV,NA,BSh,22.2,22.29,458,517,216157,25.8,14.6,59.7,0.0142,23.5,0.0109,6.6,1.32
ZA-Wgn,-26.569444,26.9391667,NA,1473,GRA,NA,BSk,16,16.59,520,622,245033,18.8,10.9,70.3,0.0144,21,0.0119,6.3,1.31
ZM-Mon,-15.4391,23.2525,NA,1073,DBF,NA,Aw,25,22.18,945,877,215955,7.8,5,87.2,0.0146,9.7,0.0161,5.6,1.81
IE-Ca1 ,52.85879167,-6.918136111,NA,59,CRO,Cfb,Cfb,9.6,10.21300002,804,883,114365,22.4,35.7,41.9,0.0106,28.2,0.0608,6.4,9.09
CN-KO4,40.538333,108.693611,NA,1033,ENF,Dfb,BSk,7.4,7.57099992,239,227,200820,25.5,41.9,32.5,0.0141,18.1,0.013,8.4,0.94
CN-KO5,40.3808,108.5486,NA,1159,OSH,Dfb,BSk,7.1,7.222000216,240,232,201877,20.2,37.6,42.2,0.0144,18.4,0.0117,8.4,0.81
CN-HBG,37.482078,101.20039,756,3328,GRA,Dwb,ET,-1.6,-1.642666618,470,486,189197,22,37.4,40.6,0.0106,24.2,0.0496,7.8,7.32
CN-QHB,37.607432,101.332,567,3229,GRA,BSk,ET,2,-0.71233321,456,468,189333,18.6,39,42.4,0.0117,22,0.0494,7.6,5.93
MY-CMC,1.400444,111.398333,20.11,25,EBF,Af,Af,27,26.57299995,3330,3340,188568,47.9,35.2,16.9,0.0102,23.6,0.0448,4.7,16.7
MY-MLM,1.482989,111.153374,24.69,21,ENF,Af,Af,27,26.51033322,3439,3413,188076,38.7,33.6,27.7,0.0104,22.6,0.0435,4.7,16.82
CN-CM1,31.5847,121.9035,31.45,-1,WET,BSh,Cfa,15.8,15.96666666,1023,988,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN-CM3,31.5167,121.9607,31.33,2,WET,BSh,Cfa,15.8,15.94999989,1023,982,179104,NA,NA,NA,NA,NA,NA,NA,NA
KR-HFK,34.55388,126.57,12,23,CRO,Cfa,Cfa,14.1,13.83699994,1529,1307,NA,30,44.3,25.7,0.0128,16.8,0.0295,5.7,2
JP-IZM,34.563469,135.533483,22,28,URB ,Cfa,Cfa,15.4,16.38199997,1576,1372,160386,NA,NA,NA,NA,NA,NA,NA,NA
JP-SAC,34.573402,135.483013,17,12,URB,Cfa,Cfa,15.3,16.37800014,1573,1372,158389,NA,NA,NA,NA,NA,NA,NA,NA
JP-TKC,36.139722,137.370833,800,1026,DNF,Dfb,Dfb,7.6,9.504666722,1826,1765,157408,31.5,31.8,36.7,0.0089,26.9,0.0616,5.1,10.78
JP-TKY,36.146167,137.423111,1420,1229,DBF,Dfb,Dfb,7.6,7.129999787,1826,1804,155219,32.5,31,36.5,0.0084,27.4,0.0761,4.9,12.66
JP-FJY,35.45454,138.76225,1030,1073,DNF,Cfa,Cfa,6.9,9.716666768,2047,1693,162382,27.7,31.2,41.1,0.0097,24.2,0.0607,5.4,9.15
JP-MSE,36.054,140.0269,13,17,CRO,Cfa,Cfa,13.8,14.18233313,1285,1307,156076,19.3,33.6,47.2,0.0112,26.1,0.0586,5.9,5.2
CN-NRW,41.15074,121.911736,7,3,ENF,Af,Dwa,9.2,9.09133333,613,573,182529,31.6,57.3,11.2,0.0129,20.7,0.0356,6.9,5.54
CN-PRW,41.151774,121.914886,7,3,CRO,Dfa,Dwa,9.2,9.09133333,613,573,182529,38.3,51.8,9.9,0.0134,23.6,0.0333,6.9,4.43
KR-GCK,37.748335,127.162223,132,201,DNF,Dwa,Dwa,10.9,10.4129999,1476,1301,158458,23.8,38.7,37.5,0.0124,19.4,0.0555,5.6,7.91
KR-GDK,37.748889,127.149167,252,256,DBF,Dwa,Dwa,10.9,10.4129999,1476,1301,158690,27.4,36.9,35.7,0.0126,19.9,0.0495,5.7,7.11
